text,size,topic
@gabrielecarrer,1,0
@gabrymalvagia,1,0
@gaetano_rizza,2,0
@gaidoric,2,0
@gallam5s,1,0
@gallinella_f,6,0
@gasparripdl,8,0
@gba_mm,1,0
@gds_it,1,0
@gennaro_cps,1,0
@gennaromigliore,1,0
@genova5stelle,1,0
@geoguida,1,0
@gfilippini1970,1,0
@ggvekkio,2,0
@gi,4,0
@gia_bif,4,0
@giacomo_lagona,2,0
@giacomovivaldi,18,0
@giangiotheglide,8,0
@gianlucavacca,1,0
@gianmarcosimon1,1,0
@giannicuperiopd,4,0
@giannigreganti,1,0
@gianniperrino,1,0
@giannipittella,4,0
@giatrus,1,0
@gibaffo,1,0
@gioday1,2,0
@giorgiameloni,4,0
@giorgiostadera,1,0
@giorsal3,1,0
@giovaneitaliabi,1,0
@giovann16191940,2,0
@giovanni84scala,5,0
@giovannilegnini,1,0
@giovannitoti,3,0
@giovannitotinew,3,0
@giovavalentini,4,0
@gioventupuntorg,1,0
@giuaddo99,1,0
@giuleoz,1,0
@giuliadivita,42,0
@giuliagrillom5s,1,0
@giurnal,2,0
@giuseppetrimarc,1,0
@giusva82,4,0
@glioutsider,1,0
@gmarigliano86,1,0
@gnufabio,4,0
@godsent072011,2,0
@gossip24hita,1,0
@governorenzi,1,0
@gozzillo777,1,0
@gparuta,4,0
@graziano_delrio,2,0
@greenitalia1,1,0
@grober_news,1,0
@grottaglie,1,0
@gruppoficamera,1,0
@gscuccimarra,1,0
@guidocrosetto,1,0
@heygleecast,1,0
@hittwitinfo,1,0
@huffpostitalia,2,0
@i_messina,17,0
@ibtimesit,2,0
@ig68602537,3,0
@ignazio_larussa,1,0
@il_main_stream,1,0
@il_populista,2,0
@il_portaborse,1,0
@ilbatti,1,0
@ilbocclib,2,0
@ilconte71,1,0
@ildivoachille79,6,0
@ileontini,1,0
@ilfoglio_it,1,0
@ilg_attualita,1,0
@ilgiocattolaio,1,0
@ilgiornale,10,0
@ilmerdone,1,0
@ilmessaggeroit,6,0
@ilmsgitroma,1,0
@ilnicchianti,1,0
@ilnuovobrigante,1,0
@ilpost,1,0
@imposimato,2,0
@indipendentieu,2,0
@inescaloisi,2,0
@inflavoro,1,0
@infoaut,1,0
@ingressolibero,2,0
@iolandananni,1,0
@iononhostato,2,0
@iononvotom5s,1,0
@isavendi,1,0
@isidorogottardo,2,0
@ismene77,1,0
@istella_it,1,0
@it2014eu,1,0
@italia_unica,3,0
@italiaincrisi,2,0
@italiannewyork,1,0
@italo_americano,1,0
@italyculture,1,0
@italymondo,1,0
@ivanmirenda,1,0
@ivanscalfarotto,2,0
@ivrelia,1,0
@jackrmullet,1,0
@jammucenne,1,0
@jason5,1,0
@javitello93,1,0
@junckereu,2,0
@kabara79,6,0
@kaka,2,0
@kekkobrunoct92,1,0
@khalidchaouki3,2,0
@kiarafarigu,4,0
@kidstu,5,0
@kongnews_it,1,0
@kotiomkin,5,0
@l_marsili,2,0
@la7tv,2,0
@la_stampa,3,0
@laclippers,1,0
@lacosachannel,1,0
@ladymiamicky,1,0
@lahesscoast,1,0
@lamp__1,1,0
@lanuovabq,1,0
@laristopazzo,5,0
@lascialandare,1,0
@lauraboldrini,2,0
@lauradecimo,1,0
@lavoltabuona,1,0
@lavonlus,1,0
@lavoroinrete,2,0
@lavvelenato,5,0
@lddio,12,0
@leganerd,6,0
@leganord2_0,1,0
@leibnitz007,1,0
@lelloesposito5,11,0
@lercionotizie,1,0
@liciaronzulli,2,0
@life_is_sexy,2,0
@littleladyterry,1,0
@livornoindi,1,0
@lodifab,1,0
@lomb1990,1,0
@lombard5stelle,2,0
@lotticarlotta,1,0
@lucafrusone,2,0
@lucagnan,5,0
@lucapap,14,0
@lucatentoni1,1,0
@lucianocapone,1,0
@luciatassan,1,0
@lugli_daniela,3,0
@luigia18776,1,0
@luigicrespi,1,0
@luigidimaio,8,0
@luigisunseri,1,0
@luka1961,1,0
@lukacasa,1,0
@lukeluke789,2,0
@lurlodellasud,1,0
@lusadep,4,0
@lvoir,1,0
@m5s,1,0
@m5smontecitorio,41,0
@m5snews,1,0
@m5snewsofficial,1,0
@m5spadova,1,0
@madagiopepe,2,0
@maddalenagissi,1,0
@mades13m,1,0
@magicaci,1,0
@magistro42,2,0
@manginobrioches,11,0
@mannella_rita,1,0
@manninoclaudia,1,0
@manughizzoni,1,0
@maofotomao,1,0
@mara_carfagna,2,0
@maratreiu,2,0
@marco5stars,1,0
@marcobetti8,7,0
@marcobracconi,1,0
@marcocf69,3,0
@marcofurfaro,2,0
@marcolaudonio,1,0
@marcomeloni,1,0
@marcopizzi14,1,0
@marcorusso83to,1,0
@marcostizioli,1,0
@marcoviola3,1,0
@marcozanni86,1,0
@margherita_ol,1,0
@margot_sonoio,1,0
@mariaelenabosch,1,0
@mariagi45409317,5,0
@mariala15232961,1,0
@mariani_renzo,3,0
@mariannamadia,1,0
@marifabbri,1,0
@marikaazzolina,1,0
@marinamas,2,0
@marinellacat,1,0
@mario_daloisio,2,0
@mariocalabresi,3,0
@mariostefanizzi,1,0
@mariter18lilly,1,0
@markdelmoro1,1,0
@marpaxi,1,0
@martapancotto,1,0
@martinolaurenti,2,0
@marxxxx9,1,0
@maryl2708,1,0
@masiaossi95,1,0
@massarenti24,1,0
@massc0,3,0
@massimo_carlino,1,0
@massimo_lazzari,2,0
@massimods,2,0
@massimoperilli1,1,0
@matmaz72,2,0
@matteobasilege,1,0
@matteomaltinti,2,0
@matteorenzi,38,0
@matteorenzi_new,2,0
@matteosalvinimi,508,0
@mattiacalise,2,0
@mattiavettorel,1,0
@mattinodinapoli,1,0
@mauriziobottar1,1,0
@mauroagatone,1,0
@maxatz,2,0
@maxcalamuneri,2,0
@maxgallax,1,0
@maxmirri,1,0
@mediaeci,3,0
@mediasettgcom24,1,0
@mercedesbresso,1,0
@mi_basisbekasi,1,0
@michele_arnese,1,0
@micheledisalvo,6,0
@michelelan,2,0
@micheleplatoni,1,0
@michelevigliot1,1,0
@mickyce83,1,0
@midi81,2,0
@milanello,2,0
@milanotweet,2,0
@milaspicola,1,0
@minambienteit,1,0
@mip_polimi,1,0
@mipiacebarca,5,0
@miriaamm16,1,0
@mirko_nano,3,0
@mirkobruni1991,2,0
@mirkoterreni,1,0
@mirkozucca,1,0
@misslul,1,0
@mlombardo81,1,0
@mlrossihawkins,1,0
@monsieurenrouge,1,0
@mov5stelle,22,0
@mov5stellea,1,0
@movarancione,1,0
@moviment5stelle,1,0
@movittone,2,0
@mpietropoli,1,0
@mragj,2,0
@mrlavoro,4,0
@mrtotaman,2,0
@msgelmini,4,0
@msimone93jsc,2,0
@mtviovoto,1,0
@mu_m5s_europa,2,0
@muoviterminim5s,1,0
@myrtamerlino,1,0
@n_degirolamo,3,0
@napolibera,4,0
@natasu5stelle,2,0
@nazarenocruzz,1,0
@ncd_insieme,1,0
@ncd_tweet,2,0
@nelle,1,0
@newsinunclick,4,0
@newyorkitalians,1,0
@nicone93,2,0
@nicvalen,2,0
@nomadelibero,1,0
@nomadidigitali,1,0
@nonsonpago1,2,0
@notiziedalm5s,3,0
@nucleofreud,1,0
@nulladiserio,2,0
@nytimes,1,0
@occhiocritico2,1,0
@occidentale,2,0
@occupypd,1,0
