TimeWindows,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
2014-05-19 00:00:00/2014-05-24 00:00:00,20.805438253167164,7.633238347009074,14.940700304795474,31.702162560129395,24.91846053489889
2014-05-20 00:00:00/2014-05-25 00:00:00,21.661290050162986,8.547131251372305,16.233722363909674,36.82123735369129,16.73661898086375
2014-05-21 00:00:00/2014-05-26 00:00:00,24.522262936959635,8.633530432784436,13.646230421705287,39.66294762844633,13.535028580104308
2014-05-22 00:00:00/2014-05-27 00:00:00,21.952475938904993,7.963986343200076,13.785583662208841,41.57482478257012,14.723129273115966
2014-05-23 00:00:00/2014-05-28 00:00:00,21.370250278915066,8.04372761167707,13.895587785740974,42.24015175069827,14.450282572968623
2014-05-24 00:00:00/2014-05-29 00:00:00,20.361761374362846,7.98830706060034,13.735664055125543,43.259451104398714,14.654816405512554
2014-05-25 00:00:00/2014-05-30 00:00:00,19.300246432460312,7.969511146770588,13.85867384950427,43.85208321393776,15.019485357327067
2014-05-26 00:00:00/2014-05-31 00:00:00,16.7162496012345,7.876638647980948,14.988389432528878,44.82012894035952,15.59859337789615
2014-05-19 00:00:00/2014-05-25 00:00:00,21.120079694679653,7.856325270404444,14.939123952275553,32.94167708481084,23.142793997829507
2014-05-20 00:00:00/2014-05-26 00:00:00,22.90460601446517,8.476284735439664,14.786448420251237,38.187133612485724,15.645527217358202
2014-05-21 00:00:00/2014-05-27 00:00:00,22.043844925177183,8.085638031777794,13.875169186154286,41.23647463032984,14.758873226560892
2014-05-22 00:00:00/2014-05-28 00:00:00,21.370250278915066,8.04372761167707,13.895587785740974,42.24015175069827,14.450282572968623
2014-05-23 00:00:00/2014-05-29 00:00:00,21.018596558675515,8.06089103786837,14.076554929591348,42.201323889652855,14.6426335842119
2014-05-24 00:00:00/2014-05-30 00:00:00,19.703123637799553,8.107560629137884,13.971240583188457,43.53784930024564,14.680225849628455
2014-05-25 00:00:00/2014-05-31 00:00:00,19.100376873637952,7.982189190012433,13.988076282990288,44.03440321879439,14.894954434564934
2014-05-19 00:00:00/2014-05-26 00:00:00,22.279987028254084,7.957608739713811,14.035327739267906,34.977856824354454,20.749219668409744
2014-05-20 00:00:00/2014-05-27 00:00:00,21.372246175839287,8.074679552156766,14.617186830549814,39.94515864075357,15.990728800700564
2014-05-21 00:00:00/2014-05-28 00:00:00,21.51498336482427,8.14760703992208,13.966757744546449,41.8590657610388,14.511586089668397
2014-05-22 00:00:00/2014-05-29 00:00:00,21.018596558675515,8.06089103786837,14.076554929591348,42.201323889652855,14.6426335842119
2014-05-23 00:00:00/2014-05-30 00:00:00,20.382914440844207,8.154610736491811,14.239644452228742,42.5571416060951,14.665688764340134
2014-05-24 00:00:00/2014-05-31 00:00:00,19.511467313865964,8.114775092442242,14.084044730357114,43.71106795343945,14.578644909895237
2014-05-19 00:00:00/2014-05-27 00:00:00,21.106277533039645,7.747797356828193,14.093612334801762,37.406020558002936,19.64629221732746
2014-05-20 00:00:00/2014-05-28 00:00:00,20.974596555948736,8.1271090564128,14.645326809709621,40.54878942360111,15.70417815432773
2014-05-21 00:00:00/2014-05-29 00:00:00,21.190586207202966,8.157761447346205,14.12624292454926,41.84357144761278,14.681837973288784
2014-05-22 00:00:00/2014-05-30 00:00:00,20.382914440844207,8.154610736491811,14.239644452228742,42.5571416060951,14.665688764340134
2014-05-23 00:00:00/2014-05-31 00:00:00,20.200934509680984,8.15957893749107,14.329432789731056,42.73110560897744,14.578948154119457
2014-05-19 00:00:00/2014-05-28 00:00:00,20.76957672415284,7.813045960111397,14.148691425507256,38.086696303471655,19.181989586756846
2014-05-20 00:00:00/2014-05-29 00:00:00,20.7248392923253,8.136538885834913,14.750328146560912,40.592197030039905,15.796096645238977
2014-05-21 00:00:00/2014-05-30 00:00:00,20.59369350313489,8.23332681478407,14.269836011924955,42.20428069139192,14.698862978764163
2014-05-22 00:00:00/2014-05-31 00:00:00,20.200934509680984,8.15957893749107,14.329432789731056,42.73110560897744,14.578948154119457
2014-05-19 00:00:00/2014-05-29 00:00:00,20.555234874432546,7.833472788034953,14.261142375210222,38.21968191020226,19.130468052120015
2014-05-20 00:00:00/2014-05-30 00:00:00,20.254759238521835,8.203028978778029,14.818848496435692,41.0096823532625,15.713680933001939
2014-05-21 00:00:00/2014-05-31 00:00:00,20.422457007148104,8.236002361270488,14.351147417701345,42.371557211129144,14.618836002750918
2014-05-19 00:00:00/2014-05-30 00:00:00,20.146226943111646,7.916894762910247,14.36093949584213,38.78019495903468,18.79574383910129
2014-05-20 00:00:00/2014-05-31 00:00:00,20.11465707400365,8.205941229887769,14.877491190838137,41.17754286679477,15.624367638475677
2014-05-19 00:00:00/2014-05-31 00:00:00,20.022098915226273,7.924749279677729,14.422101323827388,38.97206925932505,18.658981221943563
